time,throttle_left,throttle_right,omega_left,omega_right,ticks_left,ticks_right,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,ori_x,ori_y,ori_z,ori_w
1752506865.1501098,0.30000001192092896,0.30000001192092896,5.433826446533203,5.796545028686523,396,486,0.02904441045303541,0.09432771835205994,-0.19078713655388396,0.0830078125,-0.0291748046875,-1.403564453125,-0.3314236831278479,-0.9429627804474334,0.0,0.03129755506133276
1752506865.2001028,0.30000001192092896,0.30000001192092896,5.43818998336792,6.155142307281494,402,492,-0.05475803989081446,0.09699234316426504,-0.279918836522144,0.134033203125,0.035400390625,-1.380615234375,0.255040444011375,-0.9656358880154818,0.0,0.05001703404873784
1752506865.2500916,0.30000001192092896,0.30000001192092896,5.399219036102295,6.15529203414917,408,499,0.00479632466196915,0.05622358353752725,-0.2993705976512411,0.0155029296875,-0.0277099609375,-1.371337890625,-0.8726441580416631,-0.48821941881626085,0.0,0.011574650166180454
1752506865.300079,0.30000001192092896,0.30000001192092896,5.369461536407471,6.1372971534729,414,506,0.13642879038490024,0.02464777951289702,-0.36079019957256825,0.0391845703125,-0.1046142578125,-1.285400390625,-0.9355842462251924,-0.3504347059956672,0.0,0.043331686431169594
1752506865.3501012,0.30000001192092896,0.30000001192092896,5.285587310791016,6.011740684509277,419,512,-0.11497856064664934,-0.016787136316892024,-0.35506125622632734,0.018310546875,-0.064208984375,-1.2320556640625,-0.9613094833343656,-0.2741376853615111,0.0,0.02706670862975641
1752506865.400095,0.30000001192092896,0.30000001192092896,5.253572463989258,6.091711521148682,425,519,0.09725880564548554,-0.03264165394951227,-0.28165084265007734,-0.009033203125,-0.09765625,-1.1005859375,-0.9947661430707169,0.0920158682340413,0.0,0.04442297371119598
1752506865.4500728,0.30000001192092896,0.30000001192092896,5.309429168701172,5.975401401519775,431,525,-0.15441500786728457,-0.07301071985441929,-0.3288147018261073,-0.0501708984375,-0.0765380859375,-1.201171875,-0.835730170686029,0.5478231262391673,0.0,0.038011895015195606
1752506865.4999807,0.30000001192092896,0.30000001192092896,5.3686347007751465,6.015502452850342,437,531,0.14349004613724373,0.05955436455278361,-0.16440735091305364,0.0255126953125,-0.06298828125,-1.1376953125,-0.926445160783817,-0.37524619884460797,0.0,0.02982707348903913
1752506865.5500448,0.30000001192092896,0.30000001192092896,5.310123443603516,5.83148193359375,442,538,-0.09286217470534716,-0.05955436455278361,-0.1866569680949661,0.0789794921875,-0.0032958984375,-1.28125,-0.04167499019130511,-0.9986562464360891,0.0,0.030804166061354842
1752506865.6001048,0.30000001192092896,0.30000001192092896,5.198457717895508,5.7721967697143555,448,544,-0.06874732015489114,0.06088667695888615,-0.1482863707992129,0.0943603515625,0.1353759765625,-1.3797607421875,0.8189245954780252,-0.5708103807975774,0.0,0.05948122472576893
1752506865.650079,0.30000001192092896,0.30000001192092896,5.19626522064209,5.681361675262451,453,550,-0.026379785640830326,-0.0305099540997482,-0.1955834612158531,0.1070556640625,-0.03369140625,-1.2972412109375,-0.2999148131679659,-0.9529901853199496,0.0,0.043137124687118354
1752506865.7000976,0.30000001192092896,0.30000001192092896,5.049152851104736,5.587731838226318,458,556,-0.17160183790600736,-0.06475038293658353,-0.22476110290949877,0.0435791015625,-0.011962890625,-1.322509765625,-0.2646783758309803,-0.9641855119557141,0.0,0.017077936121557672
1752506865.7500894,0.30000001192092896,0.30000001192092896,5.042703628540039,5.754558086395264,464,562,-0.0002664624812205083,0.03317457891195329,-0.25367228212192394,0.09228515625,-0.05224609375,-1.1251220703125,-0.49212022981633435,-0.8692590975260486,0.0,0.04697127604949794
1752506865.8000934,0.30000001192092896,0.30000001192092896,5.039850234985352,5.674718856811523,469,568,-0.1325650844072029,-0.01945176112909711,-0.3655865242345374,0.0938720703125,0.06103515625,-1.249755859375,0.5445593636025947,-0.8375323012207908,0.0,0.0446625561801347
1752506865.8500905,0.30000001192092896,0.30000001192092896,4.989084243774414,5.834914207458496,475,575,-0.001732006127933304,-0.06608269534268607,-0.32694946445756373,0.048828125,-0.0389404296875,-1.195556640625,-0.6232902342070116,-0.7815551526106728,0.0,0.02609266889140857
1752506865.900091,0.30000001192092896,0.30000001192092896,5.025994300842285,5.898472785949707,480,581,0.11084839218773146,0.019318529888486854,-0.3935650847626908,0.0008544921875,-0.1278076171875,-1.2196044921875,-0.9986151656628975,-0.006676510181127299,0.0,0.05218405043559579
1752506865.9501007,0.30000001192092896,0.30000001192092896,5.057758808135986,6.13386344909668,485,587,0.010658499248820334,-0.2041102606149094,-0.351730475211071,0.0157470703125,-0.0531005859375,-1.1605224609375,-0.9584588463889255,-0.28423262341188826,0.0,0.023842306247630528
1752506866.0001087,0.30000001192092896,0.30000001192092896,5.046931743621826,6.060443878173828,491,594,-0.0511607963943376,0.05555742733447598,-0.3282817768636663,0.046630859375,0.08935546875,-1.4412841796875,0.8860015239702611,-0.4623669155145352,0.0,0.0349017902112403
1752506866.0500805,0.30000001192092896,0.30000001192092896,5.043752670288086,6.157047271728516,496,601,-0.05635681477813751,-0.05222664631921963,-0.36332159314416307,0.0654296875,-0.019287109375,-1.3990478515625,-0.2826637058149155,-0.9589097868151565,0.0,0.024356727306635836
1752506866.0999892,0.30000001192092896,0.30000001192092896,4.921663761138916,5.87996244430542,501,607,-0.11884226662434672,-0.06301837680865022,-0.3940980097251318,-0.0035400390625,-0.0003662109375,-1.20751953125,-0.1028990393554737,0.9946907137695792,0.0,0.0014736486303983246
1752506866.149949,0.30000001192092896,0.30000001192092896,4.935680866241455,6.133514881134033,507,614,-0.057156202221799034,-0.02598009191899956,-0.4188790204786391,0.068359375,-0.09912109375,-1.37646484375,-0.8224294955892175,-0.5671927555787707,0.0,0.04361310357938336
1752506866.2000587,0.30000001192092896,0.30000001192092896,5.099637031555176,6.1424102783203125,512,620,-0.06128637068071692,0.10924961730040841,-0.3116278717873845,0.1925048828125,0.0819091796875,-1.447509765625,0.3905157841785975,-0.9177993914301762,0.0,0.07170564411378937
1752506866.2500777,0.30000001192092896,0.30000001192092896,5.2284770011901855,6.316756725311279,518,627,-0.0033307810152563544,0.12457120997058764,-0.43593261927675164,-0.004638671875,-0.050048828125,-1.3511962890625,-0.9955603421798699,0.09227144634837818,0.0,0.018589923815843137
1752506866.300101,0.30000001192092896,0.30000001192092896,5.2358551025390625,6.213706970214844,523,633,-0.021583460978861175,-0.0014655436467127959,-0.4628453298800229,0.0682373046875,-0.1390380859375,-1.2869873046875,-0.8961038120418054,-0.43979107193272104,0.0,0.059847899649130704
1752506866.350105,0.30000001192092896,0.30000001192092896,4.987054347991943,6.016686916351318,529,640,-0.041434915829789046,0.07301071985441929,-0.4372649316828542,0.0147705078125,-0.1231689453125,-1.1502685546875,-0.9914540936561608,-0.11889588239087755,0.0,0.053689378120215424
1752506866.399995,0.0,0.0,4.921333312988281,6.158811569213867,534,646,0.10138897410440342,0.0063950995492922,-0.4068882088237162,0.0662841796875,-0.0714111328125,-1.088134765625,-0.732196828845212,-0.6796288513896582,0.0,0.044636623839500414
1752506866.450037,0.0,0.0,4.410654544830322,5.354413032531738,536,650,-0.0750091884635731,0.03357427263378405,-0.6991975507226139,-0.088623046875,-0.0869140625,-1.3192138671875,-0.6994191745041859,0.7131717987219649,0.0,0.046891404794060905
1752506866.5000997,0.0,0.0,4.410654544830322,4.573044300079346,536,652,0.06794793271122962,0.19931393595294022,-0.2913767232146259,-0.04443359375,-0.0582275390625,-1.3577880859375,-0.794683806056057,0.6064253782062993,0.0,0.02694269956047999
1752506866.55008,0.0,0.0,0.0,4.129674911499023,536,653,-0.012523736617363892,0.036771822408430146,-0.07607503838845513,0.078857421875,-0.01123046875,-1.33447265625,-0.1409295994081571,-0.9895708828007554,0.0,0.029804629230874447
